kode_kbli,uraian
68129,Aktivitas Real Estat (Bangunan dan Lahan) Nonhunian
66121,Kepialangan Efek selain Unit Karbon
68210,Aktivitas Jasa Intermediasi Real Estat
66122,Kepialangan Perdagangan Komoditas Berjangka
68291,Jasa Penaksir Real Estat
66123,Kepialangan Aset Keuangan Digital
68292,Pengelolaan Real Estat Hunian Atas Dasar Balas Jasa (Fee)
66124,Kepialangan Pasar Uang dan Pasar Valuta Asing atau Kontrak
66125,Aktivitas Penukaran Valuta Asing (Money Changer)
68299,Aktivitas Real Estat Atas Dasar Balas Jasa (Fee) atau
66126,Penawaran Efek Melalui Layanan Urun Dana Berbasis Kontrak Lainnya YTDL
66127,"Kepialangan Unit Karbon N Aktivitas Profesional, Ilmiah, dan Teknis"
66129,Kepialangan Efek dan Kontrak Komoditas Lainnya
66131,Kliring dan Setelmen Transaksi di Pasar Keuangan
69101,Aktivitas Pengacara
66132,Aktivitas Penyimpanan Aset Keuangan dan Kontrak
69102,Aktivitas Konsultan Hukum
69103,Aktivitas Konsultan Kekayaan Intelektual
66133,Aktivitas Administrasi Kepemilikan Efek
69104,Aktivitas Notaris dan Pejabat Pembuat Akta Tanah
66141,Penyediaan Jasa Pembayaran
69201,"Aktivitas Akuntansi, Pembukuan, dan Pemeriksa"
66142,Penyelenggaraan Infrastruktur Sistem Pembayaran
69202,Aktivitas Konsultansi Pajak
66143,Penyelenggaraan Penunjang Sistem Pembayaran
70100,Aktivitas Kantor Pusat
66144,Aktivitas Jasa Pengolahan Uang Rupiah
70201,Aktivitas Konsultansi Manajemen dan Bisnis Pariwisata
66149,Penyelenggaraan Transaksi Keuangan dan Pengelolaan
70202,Aktivitas Konsultansi Manajemen dan Bisnis Industri
70203,Aktivitas Konsultansi Manajemen dan Bisnis Perdagangan
66151,Aktivitas Advisori Investasi
70209,Aktivitas Konsultasi Manajemen dan Bisnis Lainnya
66152,Aktivitas Advisori Perdagangan Berjangka Komoditas
71101,Aktivitas Arsitektural
66153,Aktivitas Advisori Syariah Pasar Modal
71102,Aktivitas Perancangan dan Konsultansi Teknis Pabrik
66159,Aktivitas Advisori Pasar Keuangan Lainnya
71109,Aktivitas Enjinering dan Konsultansi Teknis Terkait Lainnya
66161,Jasa Intermediasi Pinjam Meminjam Uang Berbasis
71201,Jasa Sertifikasi Teknis
71202,Jasa Inspeksi Teknis
66162,Jasa Intermediasi Pinjam Meminjam Uang Berbasis
71203,Jasa Verifikasi dan Validasi Teknis
71204,Jasa Pengujian Teknis
66191,Aktivitas Pendanaan untuk Transaksi Efek
71209,Pengujian dan Analisis Teknis Lainnya
66192,Penitipan dan Pengelolaan Berdasarkan Perjanjian Trust
72101,Penelitian dan Pengembangan Ilmu Alam
66193,Pemeringkatan Efek
72102,Penelitian dan Pengembangan Enjinering dan Teknologi
66194,Penilaian Harga Efek
72103,Penelitian dan Pengembangan Ilmu Kedokteran dan
66195,Penyelenggaraan Dana Perlindungan Pemodal Kesehatan
66196,Penjaminan Emisi Efek (Underwriter)
72104,Penelitian dan Pengembangan Bioteknologi
66197,Aktivitas Pendukung di Pasar Uang dan Pasar Valuta Asing
72105,Penelitian dan Pengembangan Ilmu Pertanian dan
66198,"Pemeringkatan Usaha Mikro, Kecil, Menengah, dan Kedokteran Hewan"
72106,Penelitian dan Pengembangan Ketenaganukliran
66199,"Aktivitas Penunjang Jasa Keuangan Lainnya YTDL, Kecuali"
72109,Penelitian dan Pengembangan Eksperimental Ilmu Alam
66211,Aktivitas Penilai Risiko Asuransi
72201,Penelitian dan Pengembangan Ilmu Pengetahuan Sosial
66212,Aktivitas Penilai Kerugian Asuransi
72202,Penelitian dan Pengembangan Humaniora
66221,Aktivitas Agen Asuransi
73100,Aktivitas Periklanan
66222,Aktivitas Pialang Asuransi
73201,Penelitian Pasar
66223,Aktivitas Pialang Reasuransi
73202,Jajak Pendapat Opini Publik
66224,Aktivitas Agen Penjaminan
73300,Aktivitas Kehumasan
66225,Aktivitas Broker Penjaminan
74111,Aktivitas Desain Alat Transportasi dan Permesinan
66226,Aktivitas Broker Penjaminan Ulang
74112,Aktivitas Desain Peralatan Rumah Tangga dan Furnitur
66291,Aktivitas Advisori Aktuaria
74113,"Aktivitas Desain Tekstil, Mode/Fesyen, dan Garmen"
66292,Aktivitas Pengawasan Jasa Keuangan Asuransi dan Dana
74114,Aktivitas Desain Industri Strategis dan Pertahanan
74115,Aktivitas Desain Alat Komunikasi dan Elektronika
66299,"Aktivitas Penunjang Lainnya untuk Asuransi, Penjamian,"
74116,Aktivitas Desain Peralatan Olahraga dan Permainan
74117,"Aktivitas Desain Produk Kesehatan, Kosmetik, dan"
79129,Aktivitas Biro Perjalanan Lainnya
79901,Jasa Informasi Pariwisata
74118,Aktivitas Desain Pengemasan
79902,Jasa Informasi Daya Tarik Wisata
74119,Aktivitas Desain Industri Lainnya
79903,Jasa Pramuwisata
74191,Aktivitas Desain Interior
79909,Aktivitas Terkait Perjalanan Lainnya YTDL
74192,Aktivitas Desain Grafis/Komunikasi Visual
80110,Aktivitas Investigasi dan Keamanan Swasta
74193,"Aktivitas Desain Khusus Film, Video, Program Televisi,"
80190,Aktivitas Keamanan YTDL
81100,Aktivitas Penyediaan Gabungan Jasa Penunjang Fasilitas
74194,Aktivitas Desain Konten Gim
81210,Aktivitas Kebersihan Umum Bangunan
74199,Aktivitas Desain Khusus Lainya YTDL
81290,Aktivitas Kebersihan Lainnya
74201,Aktivitas Fotografi Udara
81300,Aktivitas Jasa Lanskap
74209,Aktivitas Fotografi Lainnya
82100,Aktivitas Administrasi Kantor dan Penunjang Kantor
74300,Aktivitas Penerjemah Atau Interpreter
82200,Aktivitas Pusat Panggilan (Call Center)
74910,Aktivitas Broker dan Layanan Pemasaran Paten
82300,Penyelenggaraan Konvensi dan Pameran Bisnis
74991,Jasa Meteorologi dan Prakiraan Cuaca
82400,Jasa Intermediasi untuk Aktivitas Penunjang Usaha YTDL
74999,"Semua Aktivitas Profesional, Ilmiah dan Teknis YTDL Selain Intermediasi Finansial"
82911,Aktivitas Agen Penagihan
75001,Aktivitas Personel Kesehatan Hewan Mandiri
82912,Aktivitas Biro Kredit
75002,Aktivitas Pengelolaan Sarana Kesehatan Hewan
82921,"Aktivitas Pengepakan Bahan dan Produk Hasil Pertanian,"
75009,"Aktivitas Pengelolaan Kesehatan Hewan Lainnya Perkebunan, Kehutanan, dan Perikanan"
82922,Aktivitas Pengepakan Bahan dan Produk Makanan dan
82923,Aktivitas Pengepakan Tekstil dan Produk Tekstil
77100,Penyewaan dan Sewa Guna Usaha Kendaraan Bermotor
82924,Aktivitas Pengepakan Bahan dan Produk Kimia
77210,Penyewaan dan Sewa Guna Usaha Alat rekreasi dan
82925,Aktivitas Pengepakan Bahan dan Produk Farmasi
82929,Aktivitas Pengepakan Lainnya
77291,Penyewaan Peralatan dan Perlengkapan Acara
82990,Aktivitas Jasa Penunjang Usaha Lainnya YTDL
77292,Penyewaan Alat Musik
77293,"Penyewaan Barang Hasil Pencetakan dan Penerbitan Administrasi Pemerintahan dan Pertahanan, Serta"
77294,Penyewaan Bunga dan Tanaman Hias Jaminan Sosial Wajib
77299,Penyewaan Barang Pribadi dan Barang Rumah Tangga
84111,Lembaga Legislatif
77311,Penyewaan dan Sewa Guna Usaha Alat Transportasi Darat
84112,Penyelenggaraan Pemerintahan Negara dan
77312,Penyewaan dan Sewa Guna Usaha Alat Transportasi Air
84113,"Lembaga Eksekutif Keuangan, Perpajakan, dan Bea Cukai"
77313,Penyewaan dan Sewa Guna Usaha Alat Transportasi Udara
84114,Lembaga Eksekutif Perencanaan
77391,Penyewaan dan Sewa Guna Usaha Mesin dan Peralatan
84115,Lembaga Pemerintah Nonkementerian dengan Tugas
77392,Penyewaan dan Sewa Guna Usaha Mesin dan Alat
84119,Kegiatan Administrasi Pemerintahan Lainnya
84121,Administrasi Pelayanan Pemerintah Bidang Pendidikan
77393,Penyewaan dan Sewa Guna Usaha Mesin dan Peralatan
84122,Administrasi Pelayanan Pemerintah Bidang Kesehatan
84123,Administrasi Pelayanan Pemerintah Bidang Perumahan
77394,Penyewaan dan Sewa Guna Usaha Mesin dan Peralatan
84124,Administrasi Pelayanan Pemerintah Bidang Kesejahteraan
77395,Penyewaan dan Sewa Guna Mesin dan Peralatan
84125,Administrasi Pelayanan Pemerintah Bidang Keagamaan
84126,Administrasi Pelayanan Pemerintah Bidang
77396,Penyewaan dan Sewa Guna Usaha Mesin dan Peralatan Kebudayaan/Kesenian/Rekreasi/Olahraga
84129,Administrasi Pelayanan Pemerintah Bidang Sosial Lainnya
77397,"Penyewaan dan Sewa Guna Usaha Mesin dan Peralatan Bukan Kesehatan, Pendidikan, Keagamaan, dan"
77399,"Penyewaan dan Sewa Guna Usaha Mesin, Peralatan, dan"
84130,Administrasi Pelayanan Pemerintah Bidang Lingkungan
77400,Sewa Guna Usaha Kekayaan Intelektual dan Produk
84141,Kegiatan Lembaga Pemerintahan Bidang Pertanian
84142,Kegiatan Lembaga Pemerintahan Bidang Pertambangan
77510,"Aktivitas Jasa Intermediasi untuk Penyewaan dan Sewa dan Penggalian, Listrik, Air, dan Gas"
84143,Kegiatan Lembaga Pemerintahan Bidang Perindustrian
77520,Aktivitas Jasa Intermediasi untuk Penyewaan dan Sewa
84144,Kegiatan Lembaga Pemerintahan Bidang Komunikasi dan
84145,Kegiatan Lembaga Pemerintahan Bidang Konstruksi
78101,Aktivitas Penempatan Tenaga Kerja untuk Usaha di Dalam
84146,Kegiatan Lembaga Pemerintahan Bidang Perdagangan dan
78102,Aktivitas Penempatan Tenaga Kerja Luar Negeri
84147,Kegiatan Lembaga Pemerintahan Bidang Perhubungan
78103,Aktivitas Penempatan Tenaga Kerja untuk Rumah Tangga
84148,Kegiatan Lembaga Pemerintahan Bidang Ketenagakerjaan
84149,Kegiatan Lembaga Pemerintahan untuk Menciptakan
78104,Aktivitas Penempatan Awak Kapal Efisiensi Produksi dan Bisnis Lainnya
78105,Aktivitas Penyediaan Informasi Lowongan Kerja
84210,Hubungan Luar Negeri
78109,Aktivitas Penempatan Tenaga Kerja Lainnya
84221,Lembaga Pertahanan dan Angkatan Bersenjata
78200,Aktivitas Penyediaan Tenaga Kerja Sementara dan
84222,Angkatan Darat
84223,Angkatan Udara
79110,Aktivitas Agen Perjalanan
84224,Angkatan Laut
79121,Aktivitas Biro Perjalanan Wisata
84231,Kepolisian
79122,Aktivitas Biro Perjalanan Ibadah Umrah dan Haji Khusus
84232,Pertahanan Sipil
84233,Aktivitas Lembaga Peradilan
85597,Pendidikan Kerajinan dan Industri
84234,Kegiatan Lembaga Pemerintahan Bidang Penanggulangan
85599,Pendidikan Lainnya Swasta
85610,Jasa Perantara Kursus dan Tutor
84300,Aktivitas Jaminan Sosial Wajib
85691,Aktivitas Sertifikasi Profesi Hasil Pendidikan dan Pelatihan
85692,Aktivitas Sertifikasi Profesi Hasil Pendidikan dan Pelatihan
85101,Pendidikan Taman Kanak-Kanak Umum Pemerintah
85693,Aktivitas Sertifikasi Profesi oleh Asosiasi
85102,Pendidikan Taman Kanak-Kanak Umum Swasta
85694,Aktivitas Sertifikasi Profesi Independen
85103,Pendidikan Prasekolah Keagamaan Islam
85699,Kegiatan Penunjang Pendidikan Lainnya
85104,"Pendidikan Prasekolah Keagamaan Protestan, Katolik,"
85201,Pendidikan Dasar (SD) Umum Pemerintah
85202,Pendidikan Dasar (SD) Umum Swasta
86101,Aktivitas Rumah Sakit Pemerintah
85203,Pendidikan Dasar (SD) Keagamaan Islam
86102,Aktivitas Puskesmas
85204,"Pendidikan Dasar (SD) Keagamaan Protestan, Katolik, Hindu,"
86103,Aktivitas Rumah Sakit Swasta
86104,Aktivitas Klinik Pemerintah
85311,Pendidikan Menengah Pertama (SMP) Umum Pemerintah
86105,Aktivitas Klinik Swasta
85312,Pendidikan Menengah Pertama (SMP) Umum Swasta
86109,Aktivitas Rumah Sakit Lainnya
85313,Pendidikan Menengah Pertama (SMP) Keagamaan Islam
86201,Aktivitas Praktik Dokter
85314,"Pendidikan Menengah Pertama (SMP) Keagamaan Protestan,"
86202,Aktivitas Praktik Dokter Spesialis
86203,Aktivitas Praktik Dokter Gigi
85315,Pendidikan Menengah Atas (SMA) Umum Pemerintah
86910,"Aktivitas Jasa Intermediasi untuk Kesehatan Medis,"
85316,"Pendidikan Menengah Atas (SMA) Umum Swasta Kedokteran Gigi, dan Pelayanan Kesehatan Manusia"
85317,Pendidikan Menengah Atas (SMA) Keagamaan Islam Lainnya
85318,"Pendidikan Menengah Atas (SMA) Keagamaan Protestan, Katolik,"
86991,Aktivitas Pelayanan Kesehatan yang Dilakukan oleh Tenaga
85321,Pendidikan Menengah Kejuruan (SMK) Umum Pemerintah
86992,Aktivitas Pelayanan Kesehatan Tradisional
85322,Pendidikan Menengah Kejuruan (SMK) Umum Swasta
86993,Aktivitas Pelayanan Penunjang Kesehatan
85323,Pendidikan Menengah Kejuruan (SMK) Keagamaan Islam
86994,Aktivitas Angkutan Khusus Pengangkutan Orang Sakit
85324,"Pendidikan Menengah Kejuruan (SMK) Keagamaan Protestan, (Medical Evacuation)"
86995,Aktivitas Rumah Pijat
85330,Pendidikan Pascamenengah Nontersier
87101,Aktivitas Perawatan dan Pemulihan kesehatan Berbasis
85401,Pendidikan Tinggi Umum Pemerintah Residensial oleh Pemerintah
85402,Pendidikan Tinggi Umum Swasta
87102,Aktivitas Perawatan dan Pemulihan Kesehatan Berbasis
85403,Pendidikan Tinggi Keagamaan Pemerintah Residensial oleh Lembaga Kesejahteraan Sosial
85404,Pendidikan Tinggi Keagamaan Swasta
87201,Aktivitas Perawatanuntuk Orang yang Hidup dengan atau
85510,Pendidikan Olahraga dan Rekreasi Memiliki Diagnosis Penyandang Disabilitas Mental atau
85520,Pendidikan Kebudayaan Penyalahgunaan Obat Terlarang Berbasis Residensial oleh
85530,Kegiatan Sekolah Mengemudi Pemerintah
85541,Pendidikan Pesantren Lainnya
87202,Aktivitas Perawatan untuk Orang yang Hidup dengan atau
85542,Pendidikan Keagamaan Islam Nonformal Memiliki Diagnosis Penyandang Disabilitas Mental atau
85549,Pendidikan Keagamaan Lainnya YTDL
85550,Pendidikan Lainnya Pemerintah
87301,Aktivitas Perawatan untuk Lanjut Usia atau Penyandang
85560,Pelatihan Kerja Pemerintah
85571,Pelatihan Kerja Teknik Swasta
87302,Aktivitas Sosial untuk Lanjut Usia atau Penyandang
85572,Pelatihan Kerja Teknologi Informasi dan Komunikasi
87303,Aktivitas Pengelolaan Akomodasi Warga Lanjut Usia
85573,Pelatihan Kerja Industri Kreatif Swasta
85574,Pelatihan Kerja Pariwisata dan Perhotelan Swasta
87910,Jasa Intermediasi untuk Aktivitas Perawatan Berbasis
85575,Pelatihan Kerja Bisnis dan Manajemen Swasta
85576,Pelatihan Kerja Pekerjaan Domestik Swasta
87991,Aktivitas Lembaga Kesejahteraan Sosial Anak Berbasis
85577,Pelatihan Kerja Pertanian dan Perikanan Swasta
85578,Pendidikan dan Pelatihan Personel Penerbangan
87992,Aktivitas Perawatanuntuk Anak yang Berhadapan dengan
85579,Pelatihan Kerja Swasta Lainnya
85581,Pelatihan Kerja Teknik Perusahaan
87993,Aktivitas Tunasosial Berbasis Residensial
85582,Pelatihan Kerja Teknologi Informasi dan Komunikasi
88101,Aktivitas Sosial Pemerintah Tanpa Akomodasi untuk Orang
85583,Pelatihan Kerja Industri Kreatif Perusahaan
88102,Aktivitas Sosial Lembaga Kesejahteraan Sosial Tanpa
85584,Pelatihan Kerja Pariwisata dan Perhotelan Perusahaan
85585,Pelatihan Kerja Bisnis dan Manajemen Perusahaan Disabilitas
85586,Pelatihan Kerja Pekerjaan Domestik Perusahaan
88901,Aktivitas Sosial Pemerintah Tanpa Akomodasi Lainnya
85587,Pelatihan Kerja Pertanian dan Perikanan Perusahaan
88902,Aktivitas Sosial Lembaga Kesejahteraan Sosial Tanpa
85589,Pelatihan Kerja Perusahaan Lainnya Akomodasi Lainnya
85591,Pendidikan Manajemen dan Perbankan
88903,Aktivitas Sosial Pengumpulan Dana Keislaman
85592,Pendidikan Komputer (Teknologi Informasi dan
88904,Aktivitas Sosial Pengumpulan Dana Nonislam
88905,Aktivitas Sosial Pengumpulan Dana Lainnya
85593,Pendidikan Bahasa Swasta
88906,Pendidikan Kelompok Bermain
85594,Pendidikan Kesehatan Swasta
88907,Pendidikan Taman Penitipan Anak
85595,Pendidikan Bimbingan Belajar Dan Konseling Swasta
85596,Pendidikan Teknik Swasta
94121,Aktivitas Organisasi Ilmu Pengetahuan Sosial dan
90111,Aktivitas Penciptaan Karya Sastra
94122,Aktivitas Organisasi Ilmu Pengetahuan Alam dan Teknologi
90112,Aktivitas Penciptaan Komposisi Musik
94200,Aktivitas Organisasi Buruh
90113,Aktivitas Jurnalis Berita Independen
94910,Aktivitas Organisasi Keagamaan
90120,Aktivitas Penciptaan Karya Seni Rupa
94920,Aktivitas Organisasi Politik
90130,Aktivitas Penciptaan Karya Seni Lainnya
94990,Aktivitas Organisasi Keanggotaan Lainnya YTDL
90200,Aktivitas Seni Pertunjukan
95101,Reparasi dan Pemeliharaan Komputer dan Peralatan
90310,Aktivitas Operasional Tempat dan Fasilitas Kesenian Sejenisnya
90391,Penyelenggaraan Kegiatan Kesenian dan Kebudayaan
95102,Reparasi dan Pemeliharaan Peralatan Komunikasi
90399,Aktivitas Penunjang Penciptaan Karya Seni dan Seni
95210,Reparasi dan Pemeliharaan Alat-alat Elektronik Konsumen
95220,Reparasi dan Pemeliharaan Peralatan Rumah Tangga dan
91111,Aktivitas Perpustakaan Pemerintah Peralatan Rumah dan Kebun
91112,Aktivitas Perpustakaan Swasta
95230,Reparasi dan Pemeliharaan Alas Kaki dan Barang dari Kulit
91121,Aktivitas Kearsipan Pemerintah
95240,Reparasi dan Pemeliharaan Furnitur Dan Perlengkapan
91122,Aktivitas Kearsipan Swasta Rumah
91211,Museum yang Dikelola Pemerintah
95291,Aktivitas Vermak Pakaian
91212,Museum yang Dikelola Swasta
95299,Reparasi dan Pemeliharaan Barang Keperluan Pribadi dan
91221,Aktivitas Situs Bersejarah dan Monumen yang Dikelola Perlengkapan Rumah Tangga Lainnya
95311,Reparasi Mobil
91222,Aktivitas Situs Bersejarah dan Monumen yang Dikelola
95312,Pencucian dan Salon Mobil
95320,Reparasi dan Perawatan Sepeda Motor
91300,"Konservasi, Restorasi, dan Aktivitas Penunjang Lainnya"
95400,"Jasa Intermediasi Reparasi dan Perawatan Komputer,"
91410,Aktivitas Taman Botani dan Kebun Binatang Motor
91421,Suaka Margasatwa
96100,Aktivitas Pencucian dan Pembersihan Produk Tekstil dan
91422,Taman Nasional Bulu
96210,Aktivitas Penataan dan Pangkas Rambut
91423,Hutan Lindung
96220,Aktivitas Perawatan Kecantikan dan Perawatan Kecantikan
91424,Taman Wisata Alam
91425,Taman Hutan Raya
96230,"Aktivitas Sante Par Aqua (SPA) Harian, Sauna, dan"
91426,Taman Laut
91429,Aktivitas Cagar Alam Lainnya
96300,Aktivitas Pemakaman dan Kegiatan Terkait
92000,Aktivitas Perjudian dan Pertaruhan
96400,Aktivitas Jasa Intermediasi untuk Jasa Perorangan
93111,Fasilitas Stadion
96900,Aktivitas Jasa Perorangan Lainnya YTDL
93112,Fasilitas Sirkuit
93113,Fasilitas Gelanggang/Arena
93114,Fasilitas Lapangan
93115,Fasilitas Olahraga Beladiri U
93116,Fasilitas Pusat Kebugaran/Fitness Center
93119,Pengelolaan Fasilitas Olahraga Lainnya
93121,Klub Sepak Bola
97000,Aktivitas Rumah Tangga sebagai Pemberi Kerja bagi
93122,Klub Golf
93123,Klub Renang
98100,Aktivitas Produksi Barang oleh Rumah Tangga untuk
93124,Klub Tenis Lapangan
93125,Klub Tinju
98200,Aktivitas Produksi Beragam Jasa oleh Rumah Tangga untuk
93126,Klub Bela Diri Keperluan Sendiri
93127,Klub Kebugaran/Fitness Dan Binaraga
93128,Klub Boling Aktivitas Badan Internasional dan Badan Ekstra
93129,Klub Olahraga Lainnya Internasional Lainnya
93191,Penyelenggaraan Kegiatan Olahraga
93192,Aktivitas Juri dan Wasit Profesional
99000,Aktivitas Badan Internasional dan Badan Ekstra
93193,Aktivitas Perburuan di Kawasan Buru Internasional Lainnya
93194,Badan Regulasi dan Liga Olahraga
93195,Aktivitas Olahraga Tradisional
93196,Pengelolaan Fasilitas Pemancingan
93197,Aktivitas Olaharagawan/Atlet Independen
93199,Aktivitas Lainnya yang Berkaitan dengan Olahraga YTDL
93210,Aktivitas Taman Bertema dan Taman Hiburan
93291,Aktivitas Lantai Dansa
93292,Pengelolaan Fasilitas Karaoke
93293,Pengelolaan Arena Permainan
93294,"Wisata Gua, Pemandian, dan Petualangan Alam"
93295,Wisata Pantai
93296,Wisata Agro
93297,Wisata Tirta
93299,Aktivitas Hiburan dan Rekreasi Lainnya YTDL
94110,Aktivitas Organisasi Bisnis dan Pengusaha
